participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
2,11,0,3,0,7.87886991,noncompositional,3.0,negodd
2,11,0,4,1,7.44409907,noncompositional,4.0,negodd
2,12,0,0,0,4.09315243,noncompositional,0.0,negodd
2,12,0,1,3,5.54452107,noncompositional,1.0,negodd
2,12,0,2,5,6.42560446,noncompositional,2.0,negodd
2,12,0,3,5,6.22817472,noncompositional,3.0,negodd
2,12,0,4,5,6.07816018,noncompositional,4.0,negodd
2,13,0,0,3,3.94652775,noncompositional,0.0,poseven
2,13,0,1,0,5.69083849,noncompositional,1.0,poseven
2,13,0,2,2,6.38651826,noncompositional,2.0,poseven
2,13,0,3,1,6.76738636,noncompositional,3.0,poseven
2,13,0,4,4,9.44916399,noncompositional,4.0,poseven
2,14,0,0,5,8.05765609,noncompositional,0.0,posodd
2,14,0,1,3,8.11402885,noncompositional,1.0,posodd
2,14,0,2,2,6.62000457,noncompositional,2.0,posodd
2,14,0,3,5,8.25757075,noncompositional,3.0,posodd
2,14,0,4,4,3.12002545,noncompositional,4.0,posodd
2,15,0,0,5,10.64907818,noncompositional,0.0,posodd
2,15,0,1,0,4.46941317,noncompositional,1.0,posodd
2,15,0,2,5,10.84697371,noncompositional,2.0,posodd
2,15,0,3,5,10.82654827,noncompositional,3.0,posodd
2,15,0,4,5,10.66292242,noncompositional,4.0,posodd
2,16,0,0,2,3.35834772,noncompositional,0.0,negodd
2,16,0,1,3,10.63433796,noncompositional,1.0,negodd
2,16,0,2,5,10.17957579,noncompositional,2.0,negodd
2,16,0,3,4,3.68010626,noncompositional,3.0,negodd
2,16,0,4,3,10.66375496,noncompositional,4.0,negodd
2,17,0,0,1,5.11730368,noncompositional,0.0,poseven
2,17,0,1,2,6.78900817,noncompositional,1.0,poseven
2,17,0,2,0,3.59394162,noncompositional,2.0,poseven
2,17,0,3,4,3.21934933,noncompositional,3.0,poseven
2,17,0,4,3,1.23227317,noncompositional,4.0,poseven
2,18,0,0,2,6.38325618,noncompositional,0.0,negeven
2,18,0,1,0,8.33030839,noncompositional,1.0,negeven
2,18,0,2,0,8.24331159,noncompositional,2.0,negeven
2,18,0,3,0,8.25906226,noncompositional,3.0,negeven
2,18,0,4,0,8.27407301,noncompositional,4.0,negeven
2,19,0,0,5,9.69248322,noncompositional,0.0,posodd
2,19,0,1,3,9.95204155,noncompositional,1.0,posodd
2,19,0,2,2,4.85039662,noncompositional,2.0,posodd
2,19,0,3,3,9.83687991,noncompositional,3.0,posodd
2,19,0,4,4,2.27652384,noncompositional,4.0,posodd
3,0,0,0,3,0.48674782,noncompositional,0.0,poseven
3,0,0,1,4,3.36414638,noncompositional,1.0,poseven
3,0,0,2,2,5.68127656,noncompositional,2.0,poseven
3,0,0,3,0,2.96981838,noncompositional,3.0,poseven
3,0,0,4,2,5.83890886,noncompositional,4.0,poseven
3,1,0,0,3,1.31324412,noncompositional,0.0,poseven
3,1,0,1,5,0.90779413,noncompositional,1.0,poseven
3,1,0,2,4,6.30513699,noncompositional,2.0,poseven
3,1,0,3,1,1.3466883,noncompositional,3.0,poseven
3,1,0,4,4,6.30169959,noncompositional,4.0,poseven
3,2,0,0,1,8.2071762,noncompositional,0.0,negodd
3,2,0,1,1,8.06605556,noncompositional,1.0,negodd
3,2,0,2,1,8.11475918,noncompositional,2.0,negodd
3,2,0,3,1,8.17662092,noncompositional,3.0,negodd
3,2,0,4,1,8.02306863,noncompositional,4.0,negodd
