,participant,phase,trial,context,left_option,middle_option,right_option,choice,correct,reward,reward_unchosen_1,reward_unchosen_2,RT,ID,condition,?,task,tier
146,0.0,1.0,134.0,3.0,5.0,6.0,7.0,0.0,1.0,47.0,34.0,16.0,1782.0,4011589439.0,1.0,2.0,0,0.0
147,0.0,1.0,135.0,1.0,1.0,2.0,0.0,2.0,1.0,87.0,49.0,19.0,1758.0,4011589439.0,1.0,2.0,0,0.0
148,0.0,1.0,136.0,1.0,2.0,1.0,0.0,2.0,1.0,85.0,50.0,15.0,1269.0,4011589439.0,1.0,2.0,0,0.0
149,0.0,1.0,137.0,4.0,9.0,8.0,,1.0,1.0,43.0,15.0,,1037.0,4011589439.0,1.0,2.0,0,0.0
150,0.0,1.0,138.0,1.0,1.0,2.0,0.0,2.0,1.0,80.0,50.0,15.0,1016.0,4011589439.0,1.0,2.0,0,0.0
151,0.0,1.0,139.0,4.0,8.0,,9.0,0.0,1.0,43.0,14.0,,622.0,4011589439.0,1.0,2.0,0,0.0
152,0.0,1.0,140.0,3.0,7.0,6.0,5.0,2.0,1.0,47.0,35.0,19.0,1246.0,4011589439.0,1.0,2.0,0,0.0
153,0.0,1.0,141.0,4.0,9.0,,8.0,2.0,1.0,54.0,9.0,,746.0,4011589439.0,1.0,2.0,0,0.0
154,0.0,1.0,142.0,2.0,3.0,,4.0,0.0,1.0,86.0,18.0,,3515.0,4011589439.0,1.0,2.0,0,0.0
155,0.0,1.0,143.0,4.0,,9.0,8.0,2.0,1.0,43.0,21.0,,817.0,4011589439.0,1.0,2.0,0,0.0
156,0.0,1.0,144.0,4.0,,8.0,9.0,1.0,1.0,44.0,17.0,,564.0,4011589439.0,1.0,2.0,0,0.0
157,0.0,1.0,145.0,4.0,,9.0,8.0,2.0,1.0,48.0,15.0,,3485.0,4011589439.0,1.0,2.0,0,0.0
158,0.0,1.0,146.0,2.0,,4.0,3.0,2.0,1.0,89.0,19.0,,989.0,4011589439.0,1.0,2.0,0,0.0
159,0.0,1.0,147.0,4.0,,8.0,9.0,1.0,1.0,51.0,13.0,,1545.0,4011589439.0,1.0,2.0,0,0.0
160,0.0,1.0,148.0,3.0,7.0,5.0,6.0,1.0,1.0,48.0,28.0,14.0,685.0,4011589439.0,1.0,2.0,0,0.0
161,0.0,1.0,149.0,2.0,4.0,3.0,,1.0,1.0,80.0,11.0,,676.0,4011589439.0,1.0,2.0,0,0.0
162,0.0,1.0,150.0,3.0,6.0,7.0,5.0,2.0,1.0,44.0,41.0,14.0,725.0,4011589439.0,1.0,2.0,0,0.0
163,0.0,1.0,151.0,1.0,0.0,1.0,2.0,0.0,1.0,80.0,56.0,15.0,655.0,4011589439.0,1.0,2.0,0,0.0
